injury_body_part,rotoworld_id,full_name,news_updated,number,active,birth_country,practice_participation,depth_chart_position,practice_description,team,birth_state,player_id,status,pandascore_id,depth_chart_order,college,yahoo_id,injury_start_date,oddsjam_id,fantasy_data_id,opta_id,swish_id,height,team_abbr,espn_id,hashtag,birth_city,rotowire_id,sport,competitions,high_school,fantasy_positions,last_name,gsis_id,injury_status,search_rank,search_full_name,team_changed_at,weight,search_first_name,sportradar_id,search_last_name,position,years_exp,age,birth_date,first_name,stats_id,injury_notes,metadata.channel_id,metadata.rookie_year,metadata.years_exp_shift,metadata,metadata.source_id,metadata.override_active,metadata.injury_override_regular_2020_5,metadata.injury_override_regular_2024_6,metadata.name,metadata.injury_override_regular_2024_11,metadata.injury_override_regular_2024_3,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2021_3,metadata.injury_override_off_2021_0,metadata.injury_override_off_2025_0,metadata.injury_override_off_2025_1,metadata.injury_override_regular_2024_7,metadata.injury_override_regular_2024_10,metadata.injury_override_regular_2024_14,metadata.injury_override_regular_2024_12,metadata.injury_override_regular_2024_15,metadata.injury_override_regular_2020_8,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2020_10,metadata.injury_override_post_2024_3,metadata.injury_override_regular_2024_9,metadata.injury_override_regular_2024_4,metadata.injury_override_regular_2021_4,metadata.injury_override_regular_2024_8,metadata.injury_override_regular_2024_17,metadata.injury_override_regular_2024_13
,,Javin White,1721609703351.0,60.0,True,,,,,,,7311,Active,,,UNLV,33318.0,,8ADDCA292DD5,22303.0,,881687.0,74,,3921709.0,#javinwhite-NFL-FA-60,,14902.0,nfl,[],McClymonds (CA),"['DB', 'LB']",White,,,9999999.0,javinwhite,,211,javin,3f95afdc-2140-424b-8250-7d4e273c2efc,white,LB,4.0,27.0,1997-02-21,Javin,,,1116853366710861824,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9585.0,Bashaud Breeland,1641345029845.0,24.0,True,,,,,ARI,,2091,Active,,,Clemson,27630.0,,,16407.0,,560235.0,71,,16890.0,#bashaudbreeland-NFL-ARI-24,,9648.0,nfl,[],Allendale-Fairfax (SC),['DB'],Breeland, 00-0031052,,9999999.0,bashaudbreeland,,197,bashaud,ba905b34-8412-4553-9055-3460368cc608,breeland,CB,8.0,30.0,1992-01-30,Bashaud,560235.0,,1116852779298586624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kinkead Dent,,,True,,,,,,,13175,Active,,,Tennessee-Martin,,,,,,,76,,,#kinkeaddent-NFL-FA,,,nfl,[],Jackson Academy (MS),['QB'],Dent,,,9999999.0,kinkeaddent,,215,kinkead,b1b21920-2b81-11f0-a7dc-b36f60eb4d60,dent,QB,0.0,24.0,2000-07-27,Kinkead,,,1225943136610562048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoulder,,Brandon Aubrey,1741134040465.0,17.0,True,,,K,,DAL,,11533,Active,,1.0,Notre Dame,,,872D94B3727D,,,1454349.0,75,,,#brandonaubrey-NFL-DAL-17,,17649.0,nfl,[],Plano Senior (TX),['K'],Aubrey,,Questionable,150.0,brandonaubrey,,218,brandon,110e6fe0-1c34-11ee-8294-af17faac15de,aubrey,K,2.0,30.0,1995-03-14,Brandon,,Surgery,1113708850915078145,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amarlo Herrera,,56.0,False,,,,,,,2508,Inactive,,,Georgia,28595.0,,,16967.0,,,"6'1""",,2578542.0,#amarloherrera-NFL-FA-56,,10372.0,nfl,[],North Clayton,['LB'],Herrera,,,9999999.0,amarloherrera,,249,amarlo,faf5f854-73af-4ab9-8f19-95ea75431d45,herrera,LB,5.0,28.0,1991-09-20,Amarlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kasim Edebali,1572497732686.0,95.0,True,,,,,,,2199,Inactive,,,Boston College,27923.0,,,16570.0,,,74,,17141.0,#kasimedebali-NFL-FA-95,,9378.0,nfl,[],Kimball Union (NH),"['DL', 'LB']",Edebali,00-0031255,,9999999.0,kasimedebali,,253,kasim,25a958c9-4035-43ad-8c9c-1309ea592e66,edebali,DE,8.0,32.0,1989-08-17,Kasim,498200.0,,1116852786479235072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tyler Slavin,,13.0,False,,,,,,,2881,Inactive,,,New Mexico Highlands,29002.0,,,17349.0,,,"6'2""",,2516911.0,#tylerslavin-NFL-FA-13,,10861.0,nfl,[],,['WR'],Slavin,,,9999999.0,tylerslavin,,215,tyler,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,slavin,WR,1.0,26.0,1992-01-29,Tyler,542556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9633.0,DeMarcus Lawrence,1750009211759.0,0.0,True,,,LOLB,,SEA,,2064,Active,,1.0,Boise State,27562.0,,4306CF8AB318,16366.0,,651780.0,75,,16802.0,#demarcuslawrence-NFL-SEA-0,,9344.0,nfl,[],Silver Bluff (SC),['DL'],Lawrence,00-0031411,,554.0,demarcuslawrence,,254,demarcus,3e3bd10a-6462-47f8-8938-42518781d060,lawrence,DE,11.0,33.0,1992-04-28,DeMarcus,,,1113708852156592128,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7798.0,Lance Dunbar,1520632201229.0,25.0,False,,,,,,,1284,Inactive,,,North Texas,26064.0,,,14731.0,,,"5'8""",,15369.0,#lancedunbar-NFL-FA-25,,8086.0,nfl,[],Haltom (TX),['RB'],Dunbar,,,9999999.0,lancedunbar,,187,lance,9f0f0495-b5b8-45c2-866b-02d9f96087f7,dunbar,RB,8.0,30.0,1990-01-25,Lance,468901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undisclosed,,DeAndrew White,1598920530064.0,18.0,True,,,,,,,2801,Inactive,,,Alabama,28800.0,,,17269.0,,,72,,2515962.0,#deandrewwhite-NFL-FA-18,,10243.0,nfl,[],North Shore (TX),['WR'],White,00-0031511,Questionable,9999999.0,deandrewwhite,,195,deandrew,e0abf267-f265-4682-9bb7-72bbcefda451,white,WR,7.0,30.0,1991-10-16,DeAndrew,557177.0,,1116852821904326656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Devaroe Lawrence,1627877117922.0,0.0,True,,,,,,,4501,Active,,,Auburn,30412.0,,,19373.0,,835146.0,74,,3121581.0,#devaroelawrence-NFL-FA-0,,12173.0,nfl,[],Carolina (SC),['DL'],Lawrence,00-0033501,,1257.0,devaroelawrence,,294,devaroe,87c4b182-e4bc-4f35-97ec-8537a2665875,lawrence,DT,5.0,29.0,1992-10-13,Devaroe,,,1116852977559142400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DeAndre Baker,1660181717555.0,30.0,True,,,,,,,5852,Active,,,Georgia,31862.0,,,21020.0,,880521.0,71,,3915163.0,#deandrebaker-NFL-FA-30,,13475.0,nfl,[],Miami Northwestern (FL),['DB'],Baker, 00-0035684,,9999999.0,deandrebaker,,186,deandre,02d1b3c3-f292-4174-89fa-9ecc6286adb0,baker,CB,3.0,24.0,1997-09-04,DeAndre,,,1116853171138854912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taylor Thompson,,84.0,False,,,,,,,1073,Inactive,,,SMU,,,,13881.0,,,"6'6""",,15067.0,#taylorthompson-NFL-FA-84,,,nfl,[],,['TE'],Thompson,,,9999999.0,taylorthompson,,268,taylor,c2c65162-07df-48fb-93ce-86f340afb688,thompson,TE,3.0,27.0,1989-10-19,Taylor,460898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kevon Seymour,1741821916913.0,29.0,True,,,RCB,,WAS,,3374,Active,,2.0,USC,29452.0,,0B131E4B26AA,18135.0,,691066.0,72,,2971603.0,#kevonseymour-NFL-WAS-29,,11170.0,nfl,[],Muir (CA),['DB'],Seymour,00-0032942,,9999999.0,kevonseymour,,185,kevon,e431a42b-5abe-49de-9c8c-f143f393591c,seymour,CB,9.0,31.0,1993-11-30,Kevon,691066.0,,1116852856238899200,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Corey Straughter,,0.0,True,,,,,,,8012,Active,,,Louisiana-Monroe,,,,,,1067387.0,70,,,#coreystraughter-NFL-FA-0,,15702.0,nfl,[],Neville (LA),['DB'],Straughter,,,,coreystraughter,,183,corey,a01a9064-c0c3-4f3e-8753-89f5859879f9,straughter,CB,1.0,23.0,1998-10-16,Corey,,,1116853451070898176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.J. Rose,1661021115529.0,24.0,True,,,,,,,7918,Active,,,Kentucky,,,,,,920059.0,73,,,#ajrose-NFL-FA-24,,15350.0,nfl,[],Garfield Heights (OH),['RB'],Rose,,,311.0,ajrose,,212,aj,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,rose,RB,1.0,24.0,1997-10-14,A.J.,,,1116853435631665152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Erik Pears,,71.0,False,,,,,,,777,Inactive,,,Colorado State,7588.0,,,12610.0,,,"6'8""",,9399.0,#erikpears-NFL-FA-71,,7124.0,nfl,[],John F. Kennedy (CO),['OL'],Pears,,,9999999.0,erikpears,,316,erik,dc310df5-3ada-4b4f-8f79-2db2cc603ff8,pears,T,15.0,38.0,1982-06-25,Erik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Decarius Hawthorne,,92.0,True,,,DL,,LAR,,13229,Active,,,South Florida,,,,,,,74,,,#decariushawthorne-NFL-LAR-92,,19197.0,nfl,[],Center Point (AL),['DL'],Hawthorne,,,9999999.0,decariushawthorne,,290,decarius,3e838e40-4637-11f0-8b96-73caf6d6c117,hawthorne,DL,0.0,,,Decarius,,,1238264321964769280,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ricky Jeune,1535476203701.0,2.0,True,,,,,,,5428,Active,,,Georgia Tech,31388.0,,,20526.0,,,75,,3055908.0,#rickyjeune-NFL-FA-2,,13096.0,nfl,[],Saint Joseph Regional (NJ),['WR'],Jeune,,,9999999.0,rickyjeune,,212,ricky,e5395ca3-47d0-403b-84f5-41bfeba78e67,jeune,WR,4.0,28.0,1993-12-03,Ricky,748570.0,,1116853100703907840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9348.0,Aaron Colvin,1599351058114.0,34.0,True,,,,,,,1982,Active,,,Oklahoma,27642.0,,,16249.0,,,72,,16900.0,#aaroncolvin-NFL-FA-34,,9337.0,nfl,[],Owasso (OK),['DB'],Colvin,00-0031259,,9999999.0,aaroncolvin,,191,aaron,76c630cf-0fd3-4210-a73d-9347da9d9d66,colvin,CB,8.0,30.0,1991-10-02,Aaron,542873.0,,1116852771618816000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marquis Wilson,,,True,,,,,,,12376,Active,,,Purdue,,,,,,,71,,,#marquiswilson-NFL-FA,,,nfl,[],Avon Old Farms (CT),['DB'],Wilson,,,9999999.0,marquiswilson,,185,marquis,07923890-0e3a-11ef-9a4a-c565d3259077,wilson,DB,1.0,,,Marquis,,,1116852724273512448,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Christian Uphoff,,0.0,True,,,,,,,7882,Active,,,Illinois State,,,,,,943834.0,75,,,#christianuphoff-NFL-FA-0,,15476.0,nfl,[],Washington (IL),['DB'],Uphoff,,,,christianuphoff,,195,christian,2b02fad4-574c-4a40-ab7d-43aca2142b66,uphoff,DB,1.0,23.0,1998-01-22,Christian,,,1116853428480376832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jake Hummel,1741844718889.0,35.0,True,,,RILB,,BAL,,8733,Active,,2.0,Iowa State,,,6592B272CCBB,,,1058624.0,73,,,#jakehummel-NFL-BAL-35,,16270.0,nfl,[],Dowling Catholic (IA),['LB'],Hummel,,,9999999.0,jakehummel,,235,jake,0c7ceb00-d207-11ec-ab20-b37737d70cc4,hummel,LB,3.0,26.0,1999-01-04,Jake,,,1113708701300060160,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Brett Gabbert,1747947911882.0,16.0,True,,,QB,,MIA,,13221,Active,,,Miami (OH),,,0D57BED3D0B2DB99,,,,72,,,#brettgabbert-NFL-MIA-16,,19192.0,nfl,[],Christian Brothers College (MO),['QB'],Gabbert,,,999.0,brettgabbert,,210,brett,08f0fef0-3748-11f0-9677-41d005293433,gabbert,QB,0.0,24.0,2000-08-04,Brett,,,1231394003711180800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jerome Kapp,1693334405078.0,31.0,True,,,,,,,11522,Active,,,Kutztown,,,,,,1448292.0,75,,,#jeromekapp-NFL-FA-31,,17644.0,nfl,[],Boyertown Area Senior (PA),['WR'],Kapp,,,622.0,jeromekapp,,210,jerome,64c0ef00-fa65-11ed-b161-c5ef733b4e80,kapp,WR,1.0,24.0,1999-04-07,Jerome,,,1116852698889584640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10547.0,Nick Boyle,1673388617497.0,86.0,True,,,,,,,2474,Active,,,Delaware,28559.0,,,16931.0,,608753.0,76,,2574591.0,#nickboyle-NFL-FA-86,,10252.0,nfl,[],High Point Regional (NJ),['TE'],Boyle,00-0031598,,9999999.0,nickboyle,,261,nick,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,boyle,TE,8.0,29.0,1993-02-17,Nick,608753.0,,1116852808646131712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ty Clary,,0.0,True,,,,,,,8852,Active,,,Arkansas,,,,,,1060719.0,76,,,#tyclary-NFL-FA-0,,,nfl,[],Fayetteville (AR),['OL'],Clary,,,9999999.0,tyclary,,299,ty,c22d7080-d3b2-11ec-96a0-c3471a31202c,clary,OL,0.0,25.0,1999-05-07,Ty,,,1116853538769600512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aaron Shampklin,1747079435227.0,33.0,True,,,,,,,8809,Active,,,Harvard,,,8C27E3A10D7A,,,1051044.0,70,,,#aaronshampklin-NFL-FA-33,,16367.0,nfl,[],Long Beach Polytechnic (CA),['RB'],Shampklin,,,9999999.0,aaronshampklin,,195,aaron,c09be300-d30d-11ec-8b77-45b1765fd110,shampklin,RB,3.0,25.0,1999-10-18,Aaron,,,1113708820732866560,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Parker Washington,1736200206659.0,11.0,True,,,SWR,,JAX,,9487,Active,,4.0,Penn State,,,6C394246A6D8,,,1229074.0,70,,,#parkerwashington-NFL-JAX-11,,16690.0,nfl,[],Travis (TX),['WR'],Washington,,,449.0,parkerwashington,,204,parker,c05863ec-3414-4ae6-a8d2-830aed99b6d3,washington,WR,2.0,23.0,2002-03-21,Parker,,,1113708892983947264,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geno Stone,1736448939319.0,22.0,True,,,FS,,CIN,,6923,Active,,1.0,Iowa,32889.0,,403AA74AF980,21931.0,,1059222.0,71,,4240575.0,#genostone-NFL-CIN-22,,14474.0,nfl,[],New Castle (PA),['DB'],Stone,,,655.0,genostone,,210,geno,95f3b8ac-e10f-4f0d-8650-b464b37ded86,stone,DB,5.0,26.0,1999-04-19,Geno,,,1113708806937800704,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9271.0,Johnny Manziel,1552834853016.0,2.0,False,,,,,,,1907,Inactive,,,Texas A&M,27550.0,,,16135.0,,,"6'0""",,16736.0,#johnnymanziel-NFL-FA-2,,9246.0,nfl,[],Tivy (TX),['QB'],Manziel,,,9999999.0,johnnymanziel,,210,johnny,7ebbfdef-1185-4896-a323-e6d5669a8345,manziel,QB,6.0,27.0,1992-12-06,Johnny,593578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Joe Gaziano,1733248229358.0,97.0,True,,,,,,,7325,Active,,,Northwestern,32982.0,,4F578D605AAF,22317.0,,880210.0,76,,3915990.0,#joegaziano-NFL-FA-97,,15065.0,nfl,[],Xaverian Brothers (MA),['DL'],Gaziano,,,9999999.0,joegaziano,,275,joe,bab100c6-1a6c-4411-9286-f719244f5d35,gaziano,DE,5.0,28.0,1996-09-27,Joe,,,1116853369403604992,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jarrid Williams,1691094646911.0,76.0,True,,,,,,,8716,Active,,,Miami (FL),,,,,,877900.0,78,,,#jarridwilliams-NFL-FA-76,,16329.0,nfl,[],Cedar Hill (TX),['OL'],Williams,,,9999999.0,jarridwilliams,,308,jarrid,120caef0-ce1c-11ec-bebb-4fec1e38b0e5,williams,OL,1.0,26.0,1997-07-02,Jarrid,,,1116853519173812224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Brock Ruble,,72.0,True,,,,,,,6648,Active,,,Toledo,32485.0,,,21539.0,,,80,,3122934.0,#brockruble-NFL-FA-72,,14291.0,nfl,[],DeMatha Catholic,['OL'],Ruble, 00-0035477,,9999999.0,brockruble,,325,brock,89fc014a-7d41-40c9-90d1-1459286813e2,ruble,OT,3.0,26.0,1996-01-07,Brock,,,1116853286427688960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11475.0,Jakeem Grant,1734242151808.0,84.0,True,,,,,,,3342,Active,,,Texas Tech,29420.0,,2CDE42756969,18103.0,,605325.0,67,,2577641.0,#jakeemgrant-NFL-FA-84,,10990.0,nfl,[],Horn (TX),['WR'],Grant,00-0032791,,662.0,jakeemgrant,,172,jakeem,5de11f0b-8da9-42ba-9a93-db7f0a58543b,grant,WR,8.0,32.0,1992-10-30,Jakeem,605325.0,,1116852852942176256,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8869.0,Jaron Brown,1602620149319.0,18.0,True,,,,,,,1684,Active,,,Clemson,27074.0,,,15509.0,,,75,,16172.0,#jaronbrown-NFL-FA-18,,9046.0,nfl,[],Cheraw (SC),['WR'],Brown,00-0030300,,763.0,jaronbrown,,205,jaron,51952c7b-11c5-4229-baf9-08d4694cc2ad,brown,WR,9.0,32.0,1990-01-08,Jaron,463514.0,,1116852755042926592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eric Murray,1741674361581.0,29.0,True,,,SS,,JAX,,3268,Active,,1.0,Minnesota,29340.0,,DFF0CE83247F,18029.0,,651636.0,71,,2970716.0,#ericmurray-NFL-JAX-29,,11141.0,nfl,[],Riverside (WI),['DB'],Murray,00-0033038,,9999999.0,ericmurray,,199,eric,16e4ffec-959d-4210-8702-36c0bf20dda5,murray,DB,9.0,31.0,1994-01-07,Eric,,,1113708783088988160,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nicholas Morrow,1735865416050.0,43.0,True,,,,,,,4449,Active,,,Greenville,30633.0,,DB8EDD57A8EC,19310.0,,1050219.0,72,,4232830.0,#nicholasmorrow-NFL-FA-43,,12428.0,nfl,[],Huntsville (AL),['LB'],Morrow,00-0033445,,500.0,nicholasmorrow,,216,nicholas,7c1a8ecd-e3e5-4123-b89f-36e58b99126f,morrow,LB,8.0,29.0,1995-07-10,Nicholas,,,1113708756631318529,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Joshua Pryor,1700343030178.0,47.0,True,,,,,,,11072,Active,,,Bowie State,,,C7E7375D12FB,,,1334826.0,76,,,#joshuapryor-NFL-FA-47,,17615.0,nfl,[],Paul Laurence Dunbar (MD),['DL'],Pryor,,,9999999.0,joshuapryor,,280,joshua,fa4e3720-e760-11ed-a510-95de71e69612,pryor,DL,1.0,24.0,1999-10-25,Joshua,,,1116852648922841088,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Salvon Ahmed,1736268911397.0,36.0,True,,,RB,,IND,,6918,Active,,5.0,Washington,33265.0,,998715B4D91F,21843.0,,1049246.0,71,,4243315.0,#salvonahmed-NFL-IND-36,,14453.0,nfl,[],Juanita (WA),['RB'],Ahmed,,,9999999.0,salvonahmed,,196,salvon,0dbbd211-0372-4751-9751-e4df4ab1f8eb,ahmed,RB,5.0,26.0,1998-12-30,Salvon,,,1113708735169064960,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undisclosed,,Tommy Sweeney,1729806320462.0,87.0,True,,,,,,,6137,Active,,,Boston College,32060.0,,BAB992EBEF7A,20957.0,,836094.0,77,,3122818.0,#tommysweeney-NFL-FA-87,,13667.0,nfl,[],Don Bosco Prep (NJ),['TE'],Sweeney, 00-0035308,Out,9999999.0,tommysweeney,,255,tommy,ec63ee49-3a03-44ca-a083-3916f0bccd76,sweeney,TE,6.0,29.0,1995-07-01,Tommy,836094.0,,1113708766848643072,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jason Ivey,,72.0,True,,,OL,,CLE,,12784,Active,,,North Carolina A&T,,,DD416D5CB3BFBAA4,,,,77,,,#jasonivey-NFL-CLE-72,,,nfl,[],South Mecklenburg (NC),['OL'],Ivey,,,9999999.0,jasonivey,,300,jason,692c0a10-2313-11f0-8b96-b1b768d28795,ivey,OL,0.0,,,Jason,,,1222062624800247808,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
